6급Ⅱ,神,귀신,신
6급Ⅱ,科,과목,과
6급Ⅱ,等,무리,등
6급Ⅱ,線,줄,선
6급Ⅱ,部,떼,부
NON,億,억,억
NON,低,낮을,저
NON,廣,넓을,광
NON,雨,비,우
NON,雲,구름,운
NON,妻,아내,처
NON,客,손,객
NON,友,벗,우
NON,耳,귀,이
NON,鼻,코,비
NON,齒,이,치
NON,首,머리,수
NON,毛,털,모
NON,肉,고기,육
NON,血,피,혈
NON,位,자리,위
NON,處,곳,처
NON,戶,지게,호
NON,宿,잘,숙
NON,基,터,기
NON,田,밭,전
NON,師,스승,사
NON,課,공부할,과
NON,筆,붓,필
NON,畵,그림,화
NON,思,생각,사
NON,考,상고할,고
NON,念,생각,념
NON,飯,밥,반
NON,茶,차,다
NON,魚,물고기,어
NON,牛,소,우
NON,鳥,새,조
NON,具,갖출,구
NON,步,걸음,보
NON,走,달릴,주
NON,去,갈,거
NON,坐,앉을,좌
NON,着,붙을,착
NON,造,지을,조
NON,授,줄,수
NON,受,받을,수
NON,取,가질,취
NON,閉,닫을,폐
NON,存,있을,존
NON,無,없을,무
NON,終,마칠,종
NON,輕,가벼울,경
NON,强,강할,강
NON,甘,달,감
NON,寒,찰,한
NON,情,뜻,정
NON,喜,기쁠,희
NON,悲,슬플,비
NON,君,임금,군
NON,臣,신하,신
NON,政,정사,정
NON,治,다스릴,치
NON,兵,병사,병
NON,法,법,법
NON,義,옳을,의
NON,商,장사,상
NON,役,부릴,역
NON,勞,일할,로
NON,變,변할,변
NON,化,될,화
NON,史,역사,사
NON,傳,전할,전
NON,錄,기록할,록
NON,典,법/책,전
